County,Jeb Bush,Ben Carson,Ted Cruz,John R Kasich,Marco Rubio,Donald J Trump,Total
Abbeville,236,305,876,157,740,1353,3667
Aiken,1238,2642,7138,1957,6886,9148,29009
Allendale,21,32,44,12,92,160,361
Anderson,2411,2959,8750,2038,7175,10953,34286
Bamberg,58,78,193,57,333,480,1199
Barnwell,129,171,516,91,575,1106,2588
Beaufort,2185,1095,4407,6245,9126,9912,32970
Berkeley,2662,1641,6244,1555,6176,9406,27684
Calhoun,250,139,564,110,421,805,2289
Charleston,6140,2467,9050,7301,15247,14420,54625
Cherokee,382,879,1978,308,1449,3616,8612
Chester,126,284,844,119,553,1403,3329
Chesterfield,180,246,1434,139,695,1806,4500
Clarendon,354,267,1036,243,793,1601,4294
Colleton,503,281,1103,223,936,2326,5372
Darlington,693,525,2594,328,1387,3352,8879
Dillon,169,112,912,65,445,972,2675
Dorchester,1951,1310,5199,1418,5244,6949,22071
Edgefield,116,326,1148,151,900,1366,4007
Fairfield,204,145,631,164,496,919,2559
Florence,1462,1267,5208,823,3357,6004,18121
Georgetown,959,609,1591,1023,2693,4620,11495
Greenville,6548,8036,22899,7683,22875,24913,92954
Greenwood,866,989,2408,697,2543,3029,10532
Hampton,83,92,365,88,314,721,1663
Horry,3161,2638,8496,3430,9605,26445,53775
Jasper,119,157,566,275,695,1169,2981
Kershaw,1150,616,2772,579,1896,3673,10686
Lancaster,561,1136,2689,1047,2754,4190,12377
Laurens,765,791,2745,436,1580,3321,9638
Lee,129,60,328,53,173,650,1393
Lexington,5298,4847,13167,3449,11419,16361,54541
Marion,215,140,740,100,436,1206,2837
Marlboro,164,128,409,57,254,737,1749
McCormick,76,106,371,180,468,615,1816
Newberry,619,522,1267,343,1156,2043,5950
Oconee,1391,1123,3164,1477,4002,4424,15581
Orangeburg,779,404,1303,353,1305,2536,6680
Pickens,2033,1714,6393,1448,4961,7136,23685
Richland,4484,2633,7964,4051,10955,9172,39259
Saluda,382,295,797,156,553,1248,3431
Spartanburg,2744,4036,11478,2457,10691,15249,46655
Sumter,1352,817,2474,532,2236,3762,11173
Union,269,189,884,114,752,1403,3611
Williamsburg,230,152,575,76,520,1186,2739
York,2036,3953,9169,2632,8089,12031,37910
